Row,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18
"L INS Area Id6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area Id6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L INS Area Id7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area Id7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L INS Area Id8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area Id8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L INS Area Id9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area Id9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L INS Area Id10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area Id10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L INS Area la1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area la1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L INS Area la2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area la2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L INS Area la3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area la3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FR-OPER Area Op5",0,0,0,0,0,0,0,0,0,0,0,0,0,1.67796063246208,0,0,0,0
"R FR-OPER Area Op5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FR-OPER Area Op6",0,0,0,0,0,0,0,0,0,0,0,0,0,0.258147789609551,0,0,0,0
"R FR-OPER Area Op6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FR-OPER Area Op7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FR-OPER Area Op7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FR-OPER Area Op8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FR-OPER Area Op8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FR-OPER Area Op9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FR-OPER Area Op9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L CRBL Dorsal Dentate Nucleus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R CRBL Dorsal Dentate Nucleus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L CRBL Ventral Dentate Nucleus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R CRBL Ventral Dentate Nucleus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L CRBL Interposed Nucleus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R CRBL Interposed Nucleus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L CRBL Fastigial Nucleus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R CRBL Fastigial Nucleus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L SUB Metathalamus CGM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R SUB Metathalamus CGM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L SUB Metathalamus CGL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R SUB Metathalamus CGL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L SUB Basal Forebrain Ch 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R SUB Basal Forebrain Ch 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L SUB Basal Forebrain Ch 123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R SUB Basal Forebrain Ch 123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L SUB BST Bed Nucleus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R SUB BST Bed Nucleus",0,0,0,0,0,0,0,0,0,0,0,0,1.11464968152866,0,0,0,0,0
